Value Date,HY Excess Return
2017-08-23,-1.027649
2017-08-22,-0.932507
2017-08-21,-1.089708
2017-08-18,-1.068873
2017-08-17,-0.954278
2017-08-16,-0.769396
2017-08-15,-0.703747
2017-08-14,-0.847555
2017-08-11,-1.104818
2017-08-10,-0.894893
2017-08-09,-0.543151
2017-08-08,-0.074033
2017-08-07,-0.066651
2017-08-04,-0.038752
2017-08-03,-0.147525
2017-08-02,0.009778
2017-08-01,-0.04847
2017-07-31,0.834179
2017-07-28,0.829094
2017-07-27,0.866206
2017-07-26,0.795145
2017-07-25,0.902198
2017-07-24,0.630692
2017-07-21,0.51398
2017-07-20,0.60391
2017-07-19,0.500259
2017-07-18,0.345891
2017-07-17,0.37218
2017-07-14,0.205739
2017-07-13,0.122147
2017-07-12,-0.007188
2017-07-11,-0.07489
2017-07-10,-0.06716
2017-07-07,0.004397
2017-07-06,0.144519
2017-07-05,0.173494
2017-07-04,
2017-07-03,0.196075
2017-06-30,0.349528
2017-06-29,0.211095
2017-06-28,0.086189
2017-06-27,0.050519
2017-06-26,-0.214914
2017-06-23,-0.312576
2017-06-22,-0.328359
2017-06-21,-0.255912
2017-06-20,-0.029835
2017-06-19,0.279112
2017-06-16,0.104026
2017-06-15,0.182808042787412
2017-06-14,0.181646212065691
2017-06-13,0.35047689802425
2017-06-12,0.25265998789028
2017-06-09,0.141283271565135
2017-06-08,0.082987417807609
2017-06-07,0.123397003591655
2017-06-06,0.102699507714542
2017-06-05,0.206819622798475
2017-06-02,0.100159918561868
2017-06-01,0.162016702028519
2017-05-31,0.479667
2017-05-30,0.531783361265795
2017-05-29,
2017-05-26,0.564516318491372
2017-05-25,0.56798740916001
2017-05-24,0.533363026674149
2017-05-23,0.566487876935248
2017-05-22,0.403652632991791
2017-05-19,0.253424603777988
2017-05-18,0.017589603202894
2017-05-17,0.013199541970742
2017-05-16,0.482429628913031
2017-05-15,0.438967309373262
2017-05-12,0.289897230712862
2017-05-11,0.503802199483717
2017-05-10,0.48026568317684
2017-05-09,0.388413887878395
2017-05-08,0.212770376116788
2017-05-05,0.115163579675075
2017-05-04,0.167417829475657
2017-05-03,0.244809274594422
2017-05-02,0.138688488372328
2017-05-01,0.16409440073107
2017-04-28,0.621322
2017-04-27,0.515699721550734
2017-04-26,0.564033951292093
2017-04-25,0.494546123541876
2017-04-24,0.162973962705814
2017-04-21,-0.18869075908675
2017-04-20,-0.204561323432775
2017-04-19,-0.377397698336534
2017-04-18,-0.540264555525467
2017-04-17,-0.219901593818443
2017-04-14,
2017-04-13,-0.282628292231667
2017-04-12,-0.035814647372464
2017-04-11,0.029351807531244
2017-04-10,0.279623578587663
2017-04-07,0.251477011107881
2017-04-06,0.033091787033829
2017-04-05,0.05438494658313
2017-04-04,-0.116929975822555
2017-04-03,-0.126592567259493
2017-03-31,-0.245264
2017-03-30,-0.238906383008397
2017-03-29,-0.614762691551929
2017-03-28,-0.834275455405877
2017-03-27,-1.17384517076372
2017-03-24,-1.06126508149589
2017-03-23,-1.15517043338641
2017-03-22,-1.3019435253773
2017-03-21,-0.903679127082202
2017-03-20,-0.605530939814717
2017-03-17,-0.464381918032869
2017-03-16,-0.416279178580404
2017-03-15,-0.915986639174646
2017-03-14,-0.855279068062279
2017-03-13,-0.445564480498053
2017-03-10,-0.346593505709027
2017-03-09,-0.304203057703274
2017-03-08,-0.005666704587561
2017-03-07,0.216448907140293
2017-03-06,0.438699409364987
2017-03-03,0.624131043032976
2017-03-02,0.752047135332396
2017-03-01,0.640942191743003
2017-02-28,1.123983
2017-02-27,1.00508093207349
2017-02-24,0.718701097304295
2017-02-23,0.932617454167802
2017-02-22,0.910453155921844
2017-02-21,0.828500328488918
2017-02-20,
2017-02-17,0.62094791014449
2017-02-16,0.727431540895685
2017-02-15,0.950883464719449
2017-02-14,0.765893886414312
2017-02-13,0.579258437696164
2017-02-10,0.386282418387171
2017-02-09,0.267487987241613
2017-02-08,0.072521373875388
2017-02-07,0.285901857602699
2017-02-06,0.272394779855797
2017-02-03,0.482702477947394
2017-02-02,0.229229374747662
2017-02-01,0.158608694725184
2017-01-31,1.24322
2017-01-30,1.38554640338125
2017-01-27,1.43815113332978
2017-01-26,1.44689727802794
2017-01-25,1.45886813348042
2017-01-24,1.08955338533723
2017-01-23,0.759645701834545
2017-01-20,1.05139121352644
2017-01-19,1.11916825513629
2017-01-18,0.97262744347754
2017-01-17,0.781257341547578
2017-01-16,
2017-01-13,0.93178088522571
2017-01-12,0.804276278216529
2017-01-11,0.859042951054999
2017-01-10,0.913693320332143
2017-01-09,0.811081219977217
2017-01-06,0.912432418344863
2017-01-05,0.599999028464778
2017-01-04,0.734572241272744
2017-01-03,0.344166232543853
2017-01-02,
2016-12-30,1.88342449948096
2016-12-29,2.0191941938346
2016-12-28,2.14486252973202
2016-12-27,2.28423774778872
2016-12-26,
2016-12-23,2.08567116197236
2016-12-22,2.04127664642678
2016-12-21,1.96685830880896
2016-12-20,1.98476180902513
2016-12-19,1.88942999497637
2016-12-16,1.97747089727012
2016-12-15,1.99248942229339
2016-12-14,2.11350189364515
2016-12-13,1.86350150484998
2016-12-12,1.6643074594405
2016-12-09,1.50618266513797
2016-12-08,1.07817428467245
2016-12-07,0.846331945756812
2016-12-06,0.625919488072141
2016-12-05,0.315658175845213
2016-12-02,0.112521031581786
2016-12-01,0.232941693196936
2016-11-30,1.28285441379222
2016-11-29,0.935850169577199
2016-11-28,1.06960273629052
2016-11-25,1.07239209536206
2016-11-24,
2016-11-23,1.03067793559217
2016-11-22,0.848894807046082
2016-11-21,0.603628833436955
2016-11-18,0.41807022590923
2016-11-17,0.343077327251742
2016-11-16,0.048047037180092
2016-11-15,0.02030536625915
2016-11-14,-0.580522378224601
2016-11-11,
2016-11-10,-0.059888389856513
2016-11-09,0.088602474174407
2016-11-08,-0.314549267639261
2016-11-07,-0.475221944734054
2016-11-04,-1.08258121272381
2016-11-03,-0.888919105254316
2016-11-02,-0.89852940400805
2016-11-01,-0.581417743539383
2016-10-31,0.91528815324163
2016-10-28,1.24087228373756
2016-10-27,1.47881946170407
2016-10-26,1.53492433216977
2016-10-25,1.63880884568967
2016-10-24,1.62758225896389
2016-10-21,1.47113585425725
2016-10-20,1.45964801620172
2016-10-19,1.34081347262587
2016-10-18,1.11441063815427
2016-10-17,1.03083294454249
2016-10-14,1.08225445228071
2016-10-13,0.814340817597553
2016-10-12,1.08585315510598
2016-10-11,1.03032224786228
2016-10-10,
2016-10-07,0.90424384291229
2016-10-06,0.880836317220403
2016-10-05,0.729075931309888
2016-10-04,0.525251748852514
2016-10-03,0.232835213890247
2016-09-30,0.539396520107327
2016-09-29,0.244661169092308
2016-09-28,0.102433084563499
2016-09-27,-0.100442594953172
2016-09-26,0.039544547463729
2016-09-23,0.208324050387034
2016-09-22,0.213485332581996
2016-09-21,-0.189312927789142
2016-09-20,-0.242957086742739
2016-09-19,-0.257660438587666
2016-09-16,-0.350347340975214
2016-09-15,-0.355026945134502
2016-09-14,-0.368735318338702
2016-09-13,-0.164163428687182
2016-09-12,0.038344823083173
2016-09-09,0.264844012057178
2016-09-08,0.45671826991823
2016-09-07,0.132488531706235
2016-09-06,0.026597539433073
2016-09-05,
2016-09-02,0.075241312731739
2016-09-01,-0.046722975143673
2016-08-31,2.530582192297
2016-08-30,2.60794108694627
2016-08-29,2.53393716067283
2016-08-26,2.70417513998223
2016-08-25,2.41091199286044
2016-08-24,2.31952277195469
2016-08-23,2.26135421761766
2016-08-22,2.14270653115465
2016-08-19,2.20156205057858
2016-08-18,1.99167377226852
2016-08-17,2.02321583170947
2016-08-16,1.99845287487426
2016-08-15,1.73705999265453
2016-08-12,1.45993340390597
2016-08-11,1.58395460996003
2016-08-10,1.22510660923727
2016-08-09,1.22817231880193
2016-08-08,0.996873902886525
2016-08-05,0.737084746042682
2016-08-04,0.099887097126532
2016-08-03,-0.024372512784157
2016-08-02,-0.030011453011054
2016-08-01,0.101924157615199
2016-07-29,2.60302769868483
2016-07-28,2.94413843773457
2016-07-27,3.04686898273461
2016-07-26,3.28978654864498
2016-07-25,3.45900829109067
2016-07-22,3.38510131534193
2016-07-21,3.28493096388659
2016-07-20,3.28596322539915
2016-07-19,3.11608347034897
2016-07-18,3.17325761026588
2016-07-15,3.20769826542927
2016-07-14,2.93360392108159
2016-07-13,2.57807486356544
2016-07-12,2.74419635545845
2016-07-11,1.88693585009933
2016-07-08,1.0410324805337
2016-07-07,0.621821485309979
2016-07-06,0.357115660257441
2016-07-05,0.175152768175138
2016-07-04,
2016-07-01,0.33334798980112
2016-06-30,-0.62825196312451
2016-06-29,-0.947913916633782
2016-06-28,-1.55936954418135
2016-06-27,-1.61904011993693
2016-06-24,-0.474209418695739
2016-06-23,0.723097655716266
2016-06-22,0.253558109017927
2016-06-21,0.135942267476511
